ISBN10,Author
1558747699,Bud Gardner
067102423X,Stephen King
1891620487,Robert A. Wilson
1891620487,Stanley Marcus
0060009225,Owen Parry
0380820870,Owen Parry
0380797399,Owen Parry
0060198524,Michael Perry
0345334531,Anne Rice
0515103993,Chelsea Quinn Yarbro
1550130994,Freeman Patterson
0316316962,Malcolm Gladwell
0062506080,Jiddu Krishnamurti
0142001007,William Dalrymple
0060920432,Mihaly Csikszentmihalyi
0786884061,Paul Hoffman
0691005419,Duncan J. Watts
0060505265,Christina Lamb
0864427433,Sarina Singh
0864427433,Michelle Coxall
0864424574,Royina Grewal
0813812860,Inez McAlister Faber
0842372180,Dottie McDowell
0842372180,Josh McDowell
0842372180,David N. Weiss
0399143947,Stephen King
0066211085,Sally Beauman
042517476X,Paul Solotaroff
0440237262,Stephen White
0380713330,Peter Singer
0195002237,W. Y. Evans-Wentz
0195002237,Lama Anagarika Govinda
0195002237,Sir John
014004387X,Robertson Davies
0895772620,Robert Louis Stevenson
0895772620,Frank Godwin
0517618141,Johanna Spyri
0192833871,Henrik Ibsen
0192833871,James McFarlane
0192833871,James McFarlane
0192833871,Jens
0393960579,Kate Chopin
0393960579,Margo Culley
1551113074,Joseph Conrad
1551113074,D. C. R. A. Goonetilleke
0486264785,Oscar Wilde
0060809833,Aldous Huxley
0441172660,Frank Herbert
0156711427,E.M. Forster
0553206516,Peter Matthiessen
0553550039,Isabel Allende
0345390458,Martin Cruz Smith
0061091871,Bernard Cornwell
0425090787,Lawrence Sanders
1929317999,John F. McGrady
0553268880,Pat Conroy
0385008910,Norah Lofts
0688042872,Robert T. Bakker
0671027107,Suzanne Strempek Shea
0399145869,Nevada Barr
0375405429,Valerie Martin
0446521582,Billie Letts
0151002630,Ann Patchett
0316666009,James Patterson
0316890197,Robb Forman Dew
0446675253,Pete Hamill
0345451325,Eric Nylund
0330284142,Umberto Eco
0345391810,Douglas Adams
0140620524,Mark Twain
0312186118,M. M. Kaye
0671516922,Jayne Ann Krentz
1586607251,Michael D. Warden
0671015206,Thomas J. Stanley
0671015206,William D. Danko
0440216540,Rosellen Brown
0449209598,Margaret Truman
0140062599,R. K. Narayan
0582349168,George Mackay Brown
0140041079,Spike Milligan
0140400117,Thomas Paine
0140400117,Henry Collins
0192815466,Jane Austen
0192815466,John N. Davie
0140431357,Thomas Hardy
0140431357,David Skilton
0140431357,A. Alvarez
1575664054,A. J. Hill
0451209117,A. J. Hill
0743236777,A. J. Hill
037348481X,Sharon Sala
037348481X,Peggy Moreland
037348481X,Paula Detmer Riggs
0553208314,Guideposts Magazine
0446611867,Nicholas Sparks
0385336179,Sophie Kinsella
0972380698,Marie Watts
0972380698,Joy Darien
155054439X,Bill Richardson
060980619X,Jill Conner Browne
0440900794,Lois Lowry
0553560662,Katherine O'Neal
0373483880,Nora Roberts
0061042005,Barbara Delinsky
0425046117,Edith Wharton
0156619180,Virginia Woolf
0553582755,Dean Koontz
0486282694,Sherwood Anderson
0486282694,Dover Thrift Editions
006101091X,Amy Paulsen
006101091X,(None)
0452268060,Julia Alvarez
0439099404,Mark Twain
0525405224,Judy Blume
0671759213,Wally Lamb
044651652X,Robert James Waller
0312050631,Florence King
0452254264,George Orwell
0380786052,Rosemary Rogers
0446364282,Sandra Brown
0385337272,Christopher Reich
0140291903,Mary Cantwell
0142002267,Stefan Fatsis
0671640925,Michael Kinsley
0425099644,Eric Van Lustbader
0960809600,Hentoff
0439368030,Debbie Dadey
0439368030,Marcia T. Jones
0785272984,Dr. Charles F. Stanley
0060520221,Rick Carson
0590443518,Eth Clifford
0440409942,Gary Paulsen
0590438069,Caroline B. Cooney
0380720132,Lynne Reid Banks
0380720132,Tom Newsom
1841952974,Niccolo Ammaniti
1841952974,Jonathan Hunt
0440967848,Walter Dean Myers
0842329277,Tim LaHaye
0842329277,Jerry B. Jenkins
0842343296,Jerry B. Jenkins
0842343296,Tim LaHaye
0440439884,Scott O'Dell
0842343288,Jerry B. Jenkins
0842343288,Tim LaHaye
0842343288,Chris Fabry
0590424165,Louis Sachar
059030271X,E. B. White
059030271X,Garth Williams
0345339738,J.R.R. Tolkien
0440413761,Gary Paulsen
0590461001,R. L. Stine
0688149588,Susan Richards Shreve
0842343261,Jerry B. Jenkins
0842343261,Tim LaHaye
0842343261,Chris Fabry
084234327X,Jerry B. Jenkins
084234327X,Tim LaHaye
084234327X,Chris Fabry
0395280060,James Marshall
0590451146,Isabelle Holland
0064407314,Walter Dean Myers
0816707979,Edith Nesbit
034541036X,Robert L. Veninga
0517187760,Wallace Stegner
0446679593,James Patterson
0679441557,Anne Tyler
1567315658,Melody Beattie
0849916518,Anonymous
1565120310,Janis Arnold
156512104X,Cindy Bonner
0446690295,Hannah Crafts
0446690295,Henry Louis Gates Jr.
0886774268,Mercedes Lackey
0886773520,Mercedes Lackey
0886774012,Mercedes Lackey
1892065169,Jim Grimsley
0609808346,Robert Siegel
0609808346,Onion Staff
0609808346,The Onion
0307157857,Richard Scarry
0141186151,Robertson Davies
0141186151,Gail Godwin
0451121902,Mickey Spillane
0679417796,Caleb Carr
0684833662,John Knowles
1573225517,Nick Hornby
0449909336,David Halberstam
1550548913,Will Ferguson
1550548913,Ian Ferguson
0679311386,Carol Off
039396647X,Leo Tolstoy
039396647X,George Gibian
039396647X,Louise Maude
039396647X,Aylmer Maud
0380973650,Neil Gaiman
0375414487,Anthony Lane
0316346624,Malcolm Gladwell
0802130208,John Kennedy Toole
0802130208,Walker Percy
0312988990,Richard Blow
0842373195,Lisa Beamer
0842373195,Ken Abraham
0043510744,David Suzuki
0340821191,John Connelly
0333906306,J.M. Morris
0156004992,Sara Lewis
0156628708,Virginia Woolf
0752844059,Ian Rankin
0440208459,Sara Paretsky
0752848224,Ian Rankin
075285111X,Ian Rankin
0449208672,Anne Perry
0060808241,Dorothy L. Sayers
0380725835,Nevada Barr
0751514012,Ellis Peters
0751511056,Donada Peters
0751511056,Ellis Peters
186941358X,Renee
0886775876,Mickey Zucker Reichert
0451458680,Lee Hogan
0060199652,Barbara Kingsolver
034541389X,Jonathan Kellerman
0684871580,Judith Miller
0684871580,Stephen Engelberg
0684871580,William Broad
0738203548,Viktor E. Frankl
0805033203,T. R. Pearson
0316284955,Janet Fitch
0801855926,Michel Tournier
156352600X,Bill Schultheis
0679427651,Christa Worthington
0345412214,Mario Puzo
0345441702,Mario Puzo
0451147367,Stephen King
0451147367,Richard Bachman
0595168442,Wilbur Witt
044041668X,Iain Lawrence
0451170539,Martin H. Greenberg
0375501371,John Irving
006447335X,Diana Wynne Jones
0316155101,Robin Cook
0312283709,Augusten Burroughs
0060987529,Gregory Maguire
0312951426,Minette Walters
0312953615,Minette Walters
0671567829,John Dunning
0670820555,Peter Wright
0553270931,Tom Robbins
0449241114,Mary Stewart
0394561236,Gore Vidal
0375703764,Mark Z. Danielewski
0553092626,Elizabeth George
0812545133,Molly Cochran
0812545133,Warren Murphy
0446523321,David Baldacci
0441004164,Brian Jacques
0066620996,Jim Collins
0553277472,Robert Pirsig
0385494602,Troon McAllister
0345433106,John Case
0345443020,China Mieville
068487217X,Frank McCourt
0684853159,Iain Banks
1573228281,Chang-rae Lee
0446608262,Nelson DeMille
0385503970,Tom Bradby
0316120324,Jimmy Breslin
0440214432,Elmore Leonard
0440225779,Andrew Klavan
0385501676,Adam Haslett
3446180850,Umberto Eco
3446180850,Burkhart Kroeber
0312242735,Victoria Price
0440935741,Lloyd Alexander
0380804557,Neil Gaiman
3257229739,Banana Yoshimoto
3257229739,Annelie Ortmanns
0099245027,John Grisham
0970880812,D. E. Rogers
0595256775,Douglas Robinson
0741412780,Millenia Black
0684855380,Laurie Fox
0525946233,Wendy Northcutt
0399513000,Martin Mull
0399513000,Allen Rucker
0425161617,Anne Tyler
0140149295,Rubin Carter
0553565028,Thomas Gifford
0375410848,Peter Carey
0505520680,Cinammon Burke
0505520680,Phoebe Conn
0373710348,Rebecca Winters
0451115457,Rosalind Laker
0373079710,Sara Orwig
0861782356,Louisa May Alcott
0515097039,Mary McMullen
0553560247,Diane Mott Davidson
0836135474,Anne L. Squire-Buresh
0836135474,Merrill Miller
0312974221,Nancy Thayer
0345416600,Dave Barry
0684856476,Hunter S. Thompson
0800757734,Karen Scalf Linamen
0887309100,Scott Adams
1593080255,Oscar Wilde
1593080255,Camille Cauti
1400041988,Vladimir Nabokov
0151010633,Luther Blissett
9504604730,Miguel De Cervantes Saavedra
0802714358,Helga Schneider
0802714358,Shaun Whiteside
9500720418,Isabel Allende
950491036X,Carlos Ruiz Zafon
0340697083,Richard Craze
2742739351,Javier Cercas
2742739351,Elisabeth Beyer
2742739351,Aleksandar Grujicic
0671008668,Charlotte A. Alexander
9509009059,J. D. Salinger
0312154542,Delta Burke
0312154542,Alexis Lipsitz
0064408639,Lemony Snicket
0064408639,Brett Helquist
0064408639,Michael Kupperman
0954290100,Michael Johnston
0553295772,Michael Palmer
0312858957,Christopher Pike
0345330129,Robert A. Heinlein
0743410246,Robert Simpson
0743445643,Michael A. Martin
0743445643,Andy Mangels
0743445627,Heather Jarman
0743445600,David R. George III
0812575717,Orson Scott Card
0812575717,Scott Brick
0812575717,Gabrielle De Cuir
0671026356,Nancy Holder
0743427602,Christopher Golden
0671039288,Christopher Golden
0671026364,Ray Garton
0671526103,William Shatner
0671526103,Judith Reeves-Stevens
0671526103,Garfield Ree
0671021257,William Shatner
0671021257,Judith Reeves-Stevens
0671021257,Garfield Ree
067100882X,William Shatner
067100882X,Judith Reeves-Steven
067100882X,Garfield Reev
0671008781,William Shatner
0671008781,Judith Reeves-Stevens
0671008781,Garfield Ree
2253007900,Francis Scott Fitzgerald
2253007900,Jacques Tournier
0671874349,Douglas Coupland
0394838475,Gaston Leroux
0394838475,Kate McMullan
0743439775,Jan Burke
1567311199,Ed Laing
0590482378,Ann M. Martin
0590482238,Ann M. Martin
0451179706,Michael A. Kahn
0449219410,Carl Hiaasen
0446609781,Nicci French
0679454446,Carl Hiaasen
051512608X,Nora Roberts
0373262329,Christine Green
0451124383,Ken Follett
1565122208,Lewis Nordan
0312978332,Jane Heller
0345294459,William Diehl
0451408888,Isabel Wolff
0671524968,Jackie Collins
0515115487,Julia Fenton
1563841134,Vicki A. Brady
0060008776,Elmore Leonard
0553574671,Diane Mott Davidson
0061057819,James Herbert
0761513779,Linda Dobson
1565078241,Bob Barnes
0449908119,Marvin Allen
0312956126,Minette Walters
0385334729,Belva Plain
0805044698,Douglas Hobbie
075050059X,Gower
0140165525,Antony Sher
3257231393,Donna Leon
3257231393,Monika Elwenspoek
3453149874,Scott Adams
9681500601,Juan Ramon Jimenez
067088300X,Melissa Bank
0786869216,Steve Martin
0670878103,Jan Karon
0446528382,Jack Welch
0446528382,John A. Byrne
0943233437,Conari Press
0943233437,Dawna Markova
0943233437,Daphne Rose Kingma
0375727345,Andre Dubus III
0156001454,Gary Paulsen
3440066738,Ria Fehlau
0446608890,David Baldacci
0061059137,Mel Odom
0061059137,New Line Productions
059044316X,Caroline B. Cooney
0316781460,Tom Shales
0316781460,James Andrew Miller
0425188787,Nevada Barr
0345382323,Sharyn McCrumb
0312983298,Janet Evanovich
0312983298,Charlotte Hughes
0553270249,Robert Goldsborough
0553275852,Robert Crais
0440201330,Martha Grimes
0449147398,Jennifer Blake
0747546215,ANNA PAVORD
0006513409,Isabel Wolff
0312980345,Katie Fforde
0743437640,Jude Deveraux
1551668912,Debbie Macomber
0688009387,Robin Mckinley
0380017601,Erich Segal
0671024418,S.D. Perry
067102440X,S.D. Perry
0671024426,S.D. Perry
0671024396,S.D. Perry
0140346848,Jon Scieszka
0140346848,Lane Smith
0140346031,Jon Scieszka
0140346031,Adam McCauley
0613286626,Jon Scieszka
0613286626,Lane Smith
0553568051,John Straley
042515601X,Tom Clancy
042515601X,Steve Pieczenik
042515601X,Jeff Rovin
0333782259,Julia Bell
0333782259,Paul Magrs
0333782259,Andrew Motion
0435120964,Harper Lee
0140293442,Nick Hornby
0571097103,E. A. Ellis
0140293469,NICK HORNBY
0920668372,Robert Munsch
0920668372,Sheila McGraw
0375703861,Zadie Smith
0060391537,Robin Quivers
0156011042,David Guterson
0812566637,Robert Silverberg
0060391448,Gregory Maguire
0684829975,Ursula Hegi
0451099648,Stephen King
0671776975,Norman Maclean
0440967694,S. E. Hinton
0060801115,John Gunther
0553149660,J. D. Salinger
0425152251,Jostein Gaarder
0312924585,Thomas Harris
0684718634,Alan Paton
0385479565,Richard Preston
0876056354,Lenny Flank
0375714383,Joy Adamson
0375714383,George Page
0441718213,Sheri S. Tepper
0385499094,Naguib Mahfouz
0385499094,Tagreid Abu-Hassabo
0743421574,Wei Hui
0140132708,Salman Rushdie
0312309295,Catherine Landis
0671578103,Mary Brown
0756401364,Tanya Huff
0886779758,Tanya Huff
1931561230,Amanda Eyre Ward
0807085464,Rachel Carson
0807085464,Linda Lear
0060504072,Barbara Kingsolver
0345460952,Douglas Adams
0312274920,Tony Hawks
0007134495,Lindsay Clarke
0440408903,Lloyd Alexander
038081658X,Sheri S. Tepper
0380791978,Sheri S. Tepper
0345397800,Karin McQuillan
0345409671,Anne Rice
0441007392,Amy Thomson
0441006329,Amy Thomson
0380791986,Sheri S. Tepper
0886771544,Marion Zimmer Bradley
0312974485,Laura Joh Rowland
0312979584,Laura Joh Rowland
0553380958,Neal Stephenson
0756400805,Marjorie B. Kellogg
0886779014,Marjorie B. Kellogg
0886779014,Marjorie Bradley Kellogg
0886776880,Marjorie B. Kellogg
0886776880,Jody Lee
0886775744,Marjorie B. Kellogg
0886775744,Jody Lee
0395272238,J.R.R. Tolkien
0380819007,Kage Baker
0380731800,Kage Baker
0142300608,David Clement-Davies
087951602X,Rachel Pollack
042518627X,Emily Jenkins
0380731797,Kage Baker
0970851715,Mirika Mayo Cornelius
1557504644,Victor H. Krulak
081120958X,William Carlos Williams
081120958X,Charles Tomlinson
0534525075,Mary Ann Lamanna
0534525075,Agnes Riedmann
0553583891,Josie Litton
0684849739,Michael Drosnin
0312171838,Bill Richardson
0688175716,John Searles
0743467604,Carol Grace
0671042505,Linda Lael Miller
0743205413,Tom Stone
0399147853,Sharon Kay Penman
0425162443,Sheri Reynolds
0966482018,Bonnie Bluh
1400060052,Adriana Trigiani
0451181409,Gloria Murphy
0060505559,Pat Shipman
0312104472,Donald Serrell Thomas
1551667533,Curtiss Ann Matlock
0425183238,Benedict Freedman
0425183238,Nancy Freedman
0553802240,Luanne Rice
0373711646,Debbie Macomber
0345423291,Elizabeth Berg
0515132020,Nora Roberts
0684864363,Roxana Robinson
0515131229,Nora Roberts
0451192974,Willard Scott
0451192974,Bill Crider
0446679364,Laurie Graham
0345445732,Anne D. LeClaire
0553581430,Parnell Hall
0451410157,Catherine Anderson
0373441320,Nikki Rivers
0373441320,Kathleen O'Reilly
1551662906,Dallas Schulze
0373834748,Judy Christenberry
0373834748,Muriel Jensen
0373834748,Tina Leonard
0843943319,Emma Craig
1570613818,Nancy Pearl
0743228022,Tim Winton
0385494149,Ian McEwan
0312199368,Tim Gautreaux
0312199430,Jim Fergus
1570089957,Orson Scott Card
0452282101,Randall Robinson
0060193689,Jim Marrs
048627263X,Edwin A. Abbott
0486270610,William Sydney Porter
0486270610,Shane Weller
0330330373,Minette Walters
0671318403,James P. Hogan
0743440358,Colin Forbes
0571135390,Milan Kundera
0571135390,Michael Henry Heim
1557250219,Wayne Weible
0451183746,T.C. Boyle
0316134317,Camilo Jose Cela
0316134317,Anthony Kerrigan
0789467747,Jeremy Harwood
0789467747,Simon Fielding
0789467747,Gillian Emerson-Robe
0071408398,Jim Underwood
038079487X,Pearl Cleage
0684872153,Frank McCourt
0684872153,Brooke Zimmer
0060926317,Marlo Morgan
0961937904,Gary Meier
0961937904,Gloria Meier
0140179755,Ernest Hillen
0571152813,Deirdre Madden
0140622500,Roger Hargreaves
9038802986,Stella Braam
0007101953,
1857238982,Tom Holt
380062236X,Hartmut Bieg
0312421273,Jonathan Franzen
0679454454,Carl Hiaasen
0743480562,Max Allan Collins
0312986211,Barbara Pierce
0778320294,Dinah Mccall
0425196453,Betina Krahn
1575668572,Bertrice Small
0821776126,Kathy Love
0821773429,Lisa Plumley
0060555882,Cait London
0380811081,Lisa Kleypas
0373250592,Lauren Baratz-Logsted
0373285043,Nora Roberts
0399147020,Nevada Barr
0062512668,Annie Gottlieb
0062512668,Slobodan D. Pesic
0440241162,Vicki Lewis Thompson
0439233844,Tony Johnston
0785917136,Rene Barjavel
1930353006,Ken Munro
0874831121,Liz Smith Parkhurst
0874831121,Liz Smith Parkhurst
0874831121,Rod Lorenz
0786866586,Steve Martin
0140254749,Thomas King
3250600520,Hansjörg Schneider
3446190295,Botho Strauß
3250102342,Erika Burkart
342310001X,Heinrich Böll
3406426530,Freya Von Moltke
3354005092,Reinhard Delau
3354005092,Hans-Ludwig Böhme
3250300020,Hansjörg Schneider
3608958703,Christina Viragh
0061092029,Erma Bombeck
3718501473,Jacques Wirz
3453017978,Robert Ludlum
3492230466,Frederick Forsyth
3492045170,Michael Moore
3492045170,Michael Bayer
3492045170,Helmut Dierlamm
3492045170,Norber
0072521309,Linda Brower Meeks
0072521309,Philip Heit
0072521309,Randy M. Page
0679756973,Oliver Sacks
0517886685,Paul Lukas
1570625190,Fritjof Capra
0670866563,Suanne Kelman
0375405046,John Seabrook
0316845442,Lionel Tiger
0140291725,Hal Niedzviecki
0029023106,Ernest Becker
0802134254,Stig Bjorkman
0688156819,Tim Burton
0762403004,Steve Moss
0140250840,Tim Lott
0679723226,James M. Cain
0679722645,Dashiell Hammett
0380732181,Benjamin Anastas
0156007754,Jose Saramago
0156007754,Giovanni Pontiero
0553371010,Jacob Grimm
0553371010,Wilhelm Grimm
0553371010,Jack Zipes
0553371010,Jack Zipes
031205436X,Douglas Coupland
1573226521,Alex Garland
0671027638,Arthur Nersesian
0385497091,Walter Kirn
1573226882,Nick Hornby
1573228214,Nick Hornby
0316780812,Anita Shreve
0515119784,Elizabeth Berg
0736909672,Roxanne Henke
0786011963,Wendy Corsi Staub
0811825558,Joshua Piven
0141390972,Hugh Ross Williamson
0062736302,Cindy Ribarich
0062736302,Suzanne Delzio
0071352430,Bill Lessard
0071352430,Steve Baldwin
0671798553,Harold Schechter
0060953497,Lesley Adkins
0060953497,Roy Adkins
0306810646,Ian Gibson
0393318923,Jan Bondeson
1882114981,Richard M. Stallman
1882114981,Lawrence Lessig
1882114981,Joshua Gay
1882114981,Lau
0471415804,Vaughn Bullard
0471415804,Kevin T. Smith
0471415804,Michael C. Daconta
0380788691,Mary Gentle
0515134449,Laurell K. Hamilton
0596000987,Philip Hazel
0134843460,Richard Bird
0064407675,Lemony Snicket
0767902890,Tim O'Brien
0812213122,Stephen Williams
0879238615,Noel Perrin
0879238615,Marjory Wunsch
0618134786,Natalie Angier
0618134786,Tim Folger
0312135653,Laurie R. King
0375726446,Lawrence Lessig
037575895X,Anthony Everitt
0061092355,William Shatner
0061092355,Chris Kreski
0060934727,Michael J. Nelson
0375403671,Stephen Kendrick
0670888214,Larry Millett
0380977788,Neil Gaiman
0380977788,Dave Mckean
0441304834,Laurell K. Hamilton
0375421726,Randall Kennedy
0609805002,Rochelle Morton
1891053426,Jeff Kelly
0393049272,Thomas Lynch
0140099182,Larry L. King
0385319932,Ben Macintyre
0684853205,David M. Friedman
0609802437,Cheryl Rilly
0765347415,David Hagberg
0425071081,Eugenia Price
0393956571,Edward McNall Burns
0393956571,Standish Meacham
0393956571,Robert E. Ler
0805324305,Steven Alter
2710305089,Xavier Patier
2070368378,Jacques Serguine
3462025376,Helge Schneider
0553571818,Iris Johansen
0441790348,Robert A. Heinlein
0812550390,Christopher Pike
2877141519,Gustave Flaubert
0965881199,Mark Twain
0965881199,Don Roberts
0965881199,Michael Mojher
1573928275,Mark Twain
014011906X,Anita Desai
0920109020,Gladys Taylor
0920109020,Jeff Burgess
0345377494,W. P. Kinsella
0590960369,Tor Seidler
0152009604,Vivian Vande Velde
0393038025,Walter Mosley
0771014929,Gail Bowen
0060931809,Simon Winchester
1566199697,Franz Kafka
0451527496,Anonymous
0451527496,Jack Zipes
0451525426,Anonymous
0451525426,Jack Zipes
0451525426,Sir Richard Francis Burton
0553573403,George R.R. Martin
0553579908,George R.R. Martin
055357342X,George R.R. Martin
0440211158,Kathe Koja
1885211279,Doug Lansky
2290044067,Marlo Morgan
2290044067,Caroline Rivolier
0821739514,S. White
0553280147,Judith Krantz
0821730894,Richard P. Henrick
0553245716,Johanna Kingsley
0345391055,Michael Crichton
0553243055,Craig Thomas
0312979479,Agatha Christie
0375760911,Laurie Notaro
0449244679,Taylor Caldwell
0671681036,Larry McMurtry
068480087X,E. Annie Proulx
0743407067,Joy Fielding
0515131083,Dorothea Benton Frank
1585420654,Julia Cameron
1587430665,Mark Griffin
1587430665,Theron Walker
0684843110,Elizabeth Powers
0684843110,Amy Mandelker
0684843110,Madeleine L'Engle
156955028X,Louise Perrotta
156955028X,Gina Fontana
156955028X,Ferdinand G. Mahfood
0446679763,Sue Ellen Cooper
0446679763,Andrea Reekstin
0867162791,Richard Rohr
0867162791,Joseph Martos
0452274664,Jamaica Kincaid
0064403645,Paul Fleischman
0064403645,Kathryn Jacobi
1400032806,Jon Krakauer
0140262776,Margot Livesey
0385317042,Cathi Hanauer
0393029875,Margaret Moorman
0743243315,Monica Ali
0743407059,Joy Fielding
1400061598,Elizabeth Berg
0452283280,Karen Joy Fowler
0743407083,Joy Fielding
0446532444,Nicholas Sparks
0446532444,Micah Sparks
0446533041,Lolly Winston
0375413278,Susan Minot
1892738341,Charlotte Vale Allen
0743483014,Maeve Binchy
0743483014,Marian Keyes
0743483014,Cathy Kelly
0393029603,Eduardo Galeano
0312093004,Janice Law
0451184149,Judith Hawkes
0380005239,James Jennings
0380005239,Beatrice Sparks
0231121008,Jean Baudrillard
0231121008,Julia Witwer
0064401774,Alvin Schwartz
0064401774,Stephen Gammell
0380732238,Melvin Burgess
1571740562,Neale Donald Walsch
0399142789,Neale Donald Walsch
0375406530,Ha Jin
006000438X,Manil Suri
0679411267,Martha Grimes
0375412557,P. D. James
0312169868,Janet Peery
0374129983,Jonathan Franzen
067003178X,Robert Alexander
0688176992,Antwone Q. Fisher
0688176992,Mim E. Rivas
0312032978,Fred Chappell
0394561619,Gabriel Garcia Marquez
0394561619,Edith Grossman
0786866470,Frances Park
0385318782,Elizabeth Berg
1879941201,Caroline Gordon
0060920076,Russell Banks
0679437452,Elizabeth Berg
1931561648,Audrey Niffenegger
0060517794,Rebecca Wells
0553296124,Timothy Zahn
0345413350,Philip Pullman
0380701340,Colleen Mccullough
0373260474,O'Cork
1588515281,Larry Kirk
0679450041,Michael Chabon
0241130522,Gerald Scarfe
0413722309,Steve Bell
0413725405,Steve Bell
1853830852,Mark Bryant
0859533565,Toni Goffe
0413624501,Sue Townsend
1857141296,Henrietta Stickland
0745321992,Milan Rai
0140350748,Rudyard Kipling
1853912352,Mandy Wagstaff
0201050714,Jean Liedloff
0802116175,Will Self
0140185011,Graham Greene
0140298363,John Lanchester
0451146425,Ken Follett
0877738513,Morihei Ueshiba
0877738513,John Stevens
0877738513,John Stevens
0380817446,Steven Pressfield
0440862809,B.B. Hiller
0571197272,Lorrie Moore
0345300203,Richard North Patterson
0451167309,Ken  Follett
0440154731,Kurt Vonnegut
0553579835,Robert Ludlum
0449224775,John D. MacDonald
0345379330,Douglas Adams
1576737330,Bruce H. Wilkinson
0590371258,Karen Hesse
1573227226,Marele Day
0670871753,Robin Klein
0151446474,Umberto Eco
0670813028,Stephen King
0810922975,David Finn
0761520937,Cafi Cohen
0785281754,Dorothy Moore
0785281754,Raymond Moore
0345405730,Lucy Jo Palladino
0451197410,Terry McMillan
0761522557,Linda Dobson
0316601950,Anita Shreve
0399151516,Stuart Woods
0399151435,Daniel Silva
0451210220,John Lescroart
0399148515,Daniel Silva
0886777771,Tad Williams
0445406518,Elizabeth Peters
0671697978,Robert Adams
0671697978,Ken Kelly
0441317480,Piers Anthony
0345405625,Harry Turtledove
0345406141,Harry Turtledove
0061006629,Robert Harris
0553563696,Margaret Weis
0553563696,Tracy Hickman
0345431618,Walter Tevis
0553567713,Margaret Weis
0553567713,Tracy Hickman
0553286390,Margaret Weis
0553286390,Tracy Hickman
0345301293,Philip K. Dick
0345382412,Harry Turtledove
0345389972,Harry Turtledove
0345402219,Harry Turtledove
0345405501,Harry Turtledove
0671654349,Robert Adams
0671654349,Ken Kelly
0671832174,Walter Wangerin Jr.
0881845531,Philip K. Dick
076534128X,Orson Scott Card
0441662382,Piers Anthony
0345384687,Harry Turtledove
0345353749,Nevil Shute
1586481843,Conrad Black
088184389X,Philip K. Dick
0460872583,H.G. Wells
0460872583,Brian Aldiss
0385333498,Kurt Vonnegut
0425043231,Philip K. Dick
0345313151,Piers Anthony
0345314255,Terry Brooks
0345305183,Piers Anthony
0380004933,Walter Tevis
0451132343,Stephen King
0345279255,Piers Anthony
0451131312,Stephen King
0345272846,Piers Anthony
0786884460,Jennifer Niven
0061031429,Lisa Scottoline
0060977337,Michael Moore
0446693790,Michael Moore
0553380168,Stephen Hawking
0140285008,Brian MacArthur
067104155X,Richard A. Knaak
006098726X,Michael Moore
068483569X,Daniel Yergin
068483569X,Joseph Stanislaw
0380701006,Herman Wouk
0671504398,Victor Hugo
0451522303,George Orwell
0441005152,Daniel Hood
3518366750,Hermann Hesse
3518366750,Gunter Böhmer
3453172337,Britta Herz
3453172337,Thomas Finn
3453172337,Karl-Heinz Witzko
3404136012,Dean R. Koontz
3453131169,Dean R. Koontz
3453092007,Dean R. Koontz
0553582925,Dean Koontz
0441008763,Joe Haldeman
0812545249,Robert Charles Wilson
0446606715,Peter F. Hamilton
0553572423,Frederick Forsyth
0373320132,Irene M. Pascoe
0803728492,Amy Goldman Koss
0525941673,Dorothy Allison
0812522400,David Drake
0553102044,Stephanie Barron
156718359X,William W. Hewitt
0671722948,William Shakespeare
0140191550,Mircea Eliade
0140009930,John Wyndham
014027944X,William Boyd
0140051627,John Mortimer
0713910372,John M. Cohen
0713910372,Mark J. Cohen
0140510494,D. G. A. Whitten
0140510028,W.G.
0140510028,W.G. Moore Moore
0140442073,Friedrich Nietzsche
0140442073,R. J. Hollingdale
0575075546,A.R.R.R. Roberts
0091816874,H Leighton Steward
0330020706,Nevil Shute
0851123554,Michael J.H. Taylor
0851123554,David Mondey
0743220633,Monique Roffey
1903402913,Peter Bleksley
1856053318,S.Anderson Black
0752521454,Parragon
0696204800,Better Homes &amp; Gardens
0696204800,Joan Lewis
0696204800,Lynette Chil
027300235X,Brian Cole
0877540950,D. Griffith
0751514853,Tom Holland
3404143205,Glenn Meade
345386980X,John Grisham
345386980X,Heiner Friedlich
345386980X,Bea Reiter
3629002013,Albert Bichler
3629002013,Horst Herzig
3629002013,Tina Herzig
0877147728,Jill Remains
0674955218,Natalie Zemon Davis
0452283930,Wendy Holden
0553382225,Donna Kauffman
1573227331,Nick Hornby
0679767959,Nora Ephron
0451526767,William Shakespeare
0596001932,Illiad
0596001932,Bob Herbstman
156592861X,"Illiad"" Frazer J.D."
1565926730,Illiad
080411918X,Anne Tyler
0060171405,Nancy Friday
0553293176,Amanda Quick
0316812471,Gloria Steinem
0440222915,Diana Gabaldon
1551668653,Jennifer Crusie
038079960X,Lisa Carey
0440237300,Barbara Taylor Bradford
0373292945,Joanne Rock
1568842406,Andy Rathbone
0399133186,Robin Cook
0066214122,Michael Crichton
0684803135,William J. Bennett
0451404300,Richard Parrish
0312192339,Trevanian
0060802162,Alan Bullock
0394744322,Mewa Ramgobin
0375507523,Molly Ivins
0375507523,Lou Dubose
0140266909,Legs McNeil
0140266909,Gillian McCain
0836221192,Scott Adams
0446386405,Stephen Baker
0446386405,Jackie Geyer
